Barcode,Tumor core true
cellid_000001037-1,
cellid_000001038-1,
cellid_000001039-1,Tumor core true
cellid_000001040-1,
cellid_000001041-1,
cellid_000001042-1,
cellid_000001043-1,
cellid_000001044-1,
cellid_000001045-1,
cellid_000001046-1,Tumor core true
cellid_000001047-1,
cellid_000001048-1,
cellid_000001049-1,
cellid_000001050-1,
cellid_000001051-1,
cellid_000001052-1,
cellid_000001053-1,
cellid_000001054-1,
cellid_000001055-1,
cellid_000001056-1,
cellid_000001057-1,
cellid_000001058-1,
cellid_000001059-1,
cellid_000001060-1,
cellid_000001061-1,
cellid_000001062-1,
cellid_000001063-1,
cellid_000001064-1,
cellid_000001065-1,
cellid_000001066-1,
cellid_000001067-1,
cellid_000001068-1,
cellid_000001069-1,
cellid_000001070-1,
cellid_000001071-1,
cellid_000001072-1,
cellid_000001073-1,
cellid_000001074-1,
cellid_000001075-1,
cellid_000001076-1,
cellid_000001077-1,
cellid_000001078-1,
cellid_000001079-1,
cellid_000001080-1,
cellid_000001081-1,
cellid_000001082-1,
cellid_000001083-1,
cellid_000001084-1,
cellid_000001085-1,Tumor core true
cellid_000001086-1,
cellid_000001087-1,
cellid_000001088-1,
cellid_000001089-1,Tumor core true
cellid_000001090-1,
cellid_000001091-1,
cellid_000001092-1,
cellid_000001093-1,
cellid_000001094-1,
cellid_000001095-1,
cellid_000001096-1,
cellid_000001097-1,
cellid_000001098-1,
cellid_000001099-1,
cellid_000001100-1,
cellid_000001101-1,
cellid_000001102-1,
cellid_000001103-1,
cellid_000001104-1,
cellid_000001105-1,
cellid_000001106-1,
cellid_000001107-1,Tumor core true
cellid_000001108-1,
cellid_000001109-1,
cellid_000001110-1,
cellid_000001111-1,
cellid_000001112-1,Tumor core true
cellid_000001113-1,Tumor core true
cellid_000001114-1,
cellid_000001115-1,
cellid_000001116-1,
cellid_000001117-1,
cellid_000001118-1,
cellid_000001119-1,
cellid_000001120-1,
cellid_000001121-1,
cellid_000001122-1,
cellid_000001123-1,
cellid_000001124-1,
cellid_000001125-1,
cellid_000001126-1,
cellid_000001127-1,
cellid_000001128-1,
cellid_000001129-1,
cellid_000001130-1,
cellid_000001131-1,
cellid_000001132-1,
cellid_000001133-1,
cellid_000001134-1,
cellid_000001135-1,
cellid_000001136-1,
cellid_000001137-1,
cellid_000001138-1,
cellid_000001139-1,
cellid_000001140-1,
cellid_000001141-1,
cellid_000001142-1,
cellid_000001143-1,
cellid_000001144-1,
cellid_000001145-1,
cellid_000001146-1,
cellid_000001147-1,
cellid_000001148-1,
cellid_000001149-1,
cellid_000001150-1,
cellid_000001151-1,
cellid_000001152-1,
cellid_000001153-1,
cellid_000001154-1,
cellid_000001155-1,
cellid_000001156-1,
cellid_000001157-1,
cellid_000001158-1,
cellid_000001159-1,
cellid_000001160-1,
cellid_000001161-1,
cellid_000001162-1,
cellid_000001163-1,
cellid_000001164-1,
cellid_000001165-1,
cellid_000001166-1,
cellid_000001167-1,
cellid_000001168-1,
cellid_000001169-1,
cellid_000001170-1,
cellid_000001171-1,
cellid_000001172-1,
cellid_000001173-1,
cellid_000001174-1,
cellid_000001175-1,
cellid_000001176-1,
cellid_000001177-1,
cellid_000001178-1,
cellid_000001179-1,
cellid_000001180-1,
cellid_000001181-1,
cellid_000001182-1,
cellid_000001183-1,
cellid_000001184-1,
cellid_000001185-1,
cellid_000001186-1,
cellid_000001187-1,
cellid_000001188-1,
cellid_000001189-1,
cellid_000001190-1,
cellid_000001191-1,
cellid_000001192-1,
cellid_000001193-1,
cellid_000001194-1,
cellid_000001195-1,
cellid_000001196-1,
cellid_000001197-1,
cellid_000001198-1,
cellid_000001199-1,
cellid_000001200-1,
cellid_000001201-1,
cellid_000001202-1,
cellid_000001203-1,
cellid_000001204-1,
cellid_000001205-1,
cellid_000001206-1,
cellid_000001207-1,
cellid_000001208-1,Tumor core true
cellid_000001209-1,
cellid_000001210-1,Tumor core true
cellid_000001211-1,
cellid_000001212-1,
cellid_000001213-1,
cellid_000001214-1,
cellid_000001215-1,
cellid_000001216-1,
cellid_000001217-1,
cellid_000001218-1,
cellid_000001219-1,
cellid_000001220-1,Tumor core true
cellid_000001221-1,
cellid_000001222-1,
cellid_000001223-1,
cellid_000001224-1,
cellid_000001225-1,
cellid_000001226-1,
cellid_000001227-1,
cellid_000001228-1,
cellid_000001229-1,
cellid_000001230-1,
cellid_000001231-1,Tumor core true
cellid_000001232-1,Tumor core true
cellid_000001233-1,
cellid_000001234-1,
cellid_000001235-1,Tumor core true
cellid_000001236-1,
cellid_000001237-1,
cellid_000001238-1,
cellid_000001239-1,
cellid_000001240-1,
cellid_000001241-1,Tumor core true
cellid_000001242-1,
cellid_000001243-1,
cellid_000001244-1,
cellid_000001245-1,
